from,to,open,close,min,max,volume
1730338440,1730338560,166.5795,166.6095,166.5795,166.61,331
1730338560,1730338680,166.609,166.589,166.5845,166.6135,437
1730338680,1730338800,166.5895,166.5755,166.5745,166.5925,348
1730338800,1730338920,166.5745,166.5425,166.5205,166.5755,621
1730338920,1730339040,166.542,166.5615,166.5325,166.562,476
1730339040,1730339160,166.5605,166.545,166.541,166.564,330
1730339160,1730339280,166.5455,166.546,166.532,166.5535,383
1730339280,1730339400,166.5465,166.5085,166.508,166.549,352
1730339400,1730339520,166.509,166.4615,166.4395,166.51,568
1730339520,1730339640,166.462,166.4725,166.4395,166.4735,462
1730339640,1730339760,166.4745,166.4715,166.4685,166.4905,550
1730339760,1730339880,166.473,166.4355,166.431,166.4805,438
1730339880,1730340000,166.4355,166.467,166.402,166.469,552
1730340000,1730340120,166.4665,166.4415,166.441,166.48,587
1730340120,1730340240,166.4405,166.459,166.4235,166.5005,643
1730340240,1730340360,166.458,166.4975,166.44,166.5185,532
1730340360,1730340480,166.4985,166.509,166.4845,166.516,376
1730340480,1730340600,166.51,166.5195,166.5,166.528,416
1730340600,1730340720,166.52,166.5255,166.5195,166.553,423
1730340720,1730340840,166.5265,166.4885,166.4885,166.5265,357
1730340840,1730340960,166.4885,166.4865,166.4725,166.5,353
1730340960,1730341080,166.4865,166.504,166.477,166.511,417
1730341080,1730341200,166.5035,166.496,166.485,166.5075,444
1730341200,1730341320,166.4955,166.4905,166.471,166.503,369
1730341320,1730341440,166.4915,166.494,166.4855,166.5155,271
1730341440,1730341560,166.494,166.5025,166.4635,166.5095,443
1730341560,1730341680,166.5035,166.507,166.475,166.523,364
1730341680,1730341800,166.506,166.4685,166.4615,166.5095,351
1730341800,1730341920,166.4695,166.492,166.4585,166.4925,381
1730341920,1730342040,166.4925,166.4935,166.474,166.5125,270
1730342040,1730342160,166.493,166.4935,166.468,166.504,243
1730342160,1730342280,166.493,166.4575,166.4555,166.4935,310
